Congressional District,RTRU,DBID,RTIL,DCUN,RFOR,DCOO
1,0.45,0.54,0.43,0.53,0.426,0.564
2,0.34,0.64,0.35,0.6,0.314,0.67
3,0.61,0.38,0.59,0.37,0.585,0.4
4,0.32,0.66,0.32,0.64,0.299,0.688
5,0.67,0.32,0.64,0.31,0.635,0.352
6,0.37,0.61,0.37,0.59,0.342,0.642
7,0.58,0.41,0.56,0.39,0.545,0.44
8,0.52,0.46,0.5,0.44,0.492,0.49
9,0.53,0.45,0.53,0.43,0.503,0.484
10,0.67,0.31,0.64,0.31,0.637,0.35
11,0.55,0.43,0.53,0.42,0.522,0.463
12,0.28,0.7,0.29,0.66,0.27,0.71
13,0.67,0.32,0.64,0.32,0.629,0.359